Train Iteration: 100%
9044/9044 [3:46:45<00:00, 1.50s/it]
{'avg_chunks': 2.0, 'loss': 2.6297475337982177, 'learning_rate': 1.9257027557422817e-05, 'optimizer_steps': 21}
{'avg_chunks': 2.2, 'loss': 2.842399024963379, 'learning_rate': 1.9257027557422817e-05, 'optimizer_steps': 21}
{'avg_chunks': 2.8, 'loss': 2.3617837190628053, 'learning_rate': 1.9257027557422817e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.0, 'loss': 2.4987597942352293, 'learning_rate': 1.922164791730009e-05, 'optimizer_steps': 22}
{'avg_chunks': 3.6, 'loss': 2.9224946022033693, 'learning_rate': 1.922164791730009e-05, 'optimizer_steps': 22}
{'avg_chunks': 3.8, 'loss': 2.6715630531311034, 'learning_rate': 1.922164791730009e-05, 'optimizer_steps': 22}
{'avg_chunks': 2.2, 'loss': 2.4429952621459963, 'learning_rate': 1.9186268277177368e-05, 'optimizer_steps': 23}
{'avg_chunks': 3.0, 'loss': 2.358240008354187, 'learning_rate': 1.9186268277177368e-05, 'optimizer_steps': 23}
{'avg_chunks': 2.0, 'loss': 2.444848370552063, 'learning_rate': 1.9186268277177368e-05, 'optimizer_steps': 23}
{'avg_chunks': 3.0, 'loss': 2.3921494245529176, 'learning_rate': 1.915088863705465e-05, 'optimizer_steps': 24}
{'avg_chunks': 3.0, 'loss': 2.469532108306885, 'learning_rate': 1.915088863705465e-05, 'optimizer_steps': 24}
{'avg_chunks': 2.4, 'loss': 2.2153929710388183, 'learning_rate': 1.915088863705465e-05, 'optimizer_steps': 24}
{'avg_chunks': 3.8, 'loss': 2.3848368883132935, 'learning_rate': 1.9115508996931923e-05, 'optimizer_steps': 25}
{'avg_chunks': 3.0, 'loss': 2.658525800704956, 'learning_rate': 1.9115508996931923e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.4, 'loss': 2.5266090393066407, 'learning_rate': 1.9115508996931923e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.6, 'loss': 2.7351593494415285, 'learning_rate': 1.90801293568092e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.8, 'loss': 2.9429860591888426, 'learning_rate': 1.90801293568092e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.8, 'loss': 2.6565746307373046, 'learning_rate': 1.90801293568092e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.2, 'loss': 2.2345251560211183, 'learning_rate': 1.90801293568092e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.8, 'loss': 2.7718961238861084, 'learning_rate': 1.9044749716686477e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.8, 'loss': 2.462273192405701, 'learning_rate': 1.9044749716686477e-05, 'optimizer_steps': 27}
{'avg_chunks': 3.4, 'loss': 2.617461156845093, 'learning_rate': 1.9044749716686477e-05, 'optimizer_steps': 27}
{'avg_chunks': 3.4, 'loss': 2.781365728378296, 'learning_rate': 1.9009370076563755e-05, 'optimizer_steps': 28}
{'avg_chunks': 3.4, 'loss': 2.327920937538147, 'learning_rate': 1.9009370076563755e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.8, 'loss': 2.5263144254684446, 'learning_rate': 1.9009370076563755e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.6, 'loss': 2.352523994445801, 'learning_rate': 1.897399043644103e-05, 'optimizer_steps': 29}
{'avg_chunks': 3.4, 'loss': 2.5839184522628784, 'learning_rate': 1.897399043644103e-05, 'optimizer_steps': 29}
{'avg_chunks': 3.2, 'loss': 2.5026919841766357, 'learning_rate': 1.897399043644103e-05, 'optimizer_steps': 29}
{'avg_chunks': 3.2, 'loss': 2.5805016994476317, 'learning_rate': 1.893861079631831e-05, 'optimizer_steps': 30}
{'avg_chunks': 3.0, 'loss': 2.6968034744262694, 'learning_rate': 1.893861079631831e-05, 'optimizer_steps': 30}
{'avg_chunks': 3.0, 'loss': 2.4040202856063844, 'learning_rate': 1.893861079631831e-05, 'optimizer_steps': 30}
{'avg_chunks': 3.4, 'loss': 2.567920112609863, 'learning_rate': 1.8903231156195586e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.0, 'loss': 2.3783133029937744, 'learning_rate': 1.8903231156195586e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.0, 'loss': 2.1613471031188967, 'learning_rate': 1.8903231156195586e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.8, 'loss': 2.7666637897491455, 'learning_rate': 1.8903231156195586e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.4, 'loss': 2.7780041217803957, 'learning_rate': 1.886785151607286e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.0, 'loss': 2.5358014583587645, 'learning_rate': 1.886785151607286e-05, 'optimizer_steps': 32}
{'avg_chunks': 3.8, 'loss': 2.188475751876831, 'learning_rate': 1.886785151607286e-05, 'optimizer_steps': 32}
{'avg_chunks': 3.0, 'loss': 2.065771389007568, 'learning_rate': 1.8832471875950137e-05, 'optimizer_steps': 33}
{'avg_chunks': 2.8, 'loss': 2.4807674407958986, 'learning_rate': 1.8832471875950137e-05, 'optimizer_steps': 33}
{'avg_chunks': 2.8, 'loss': 2.66773042678833, 'learning_rate': 1.8832471875950137e-05, 'optimizer_steps': 33}
{'avg_chunks': 3.6, 'loss': 2.556454372406006, 'learning_rate': 1.8797092235827415e-05, 'optimizer_steps': 34}
{'avg_chunks': 2.4, 'loss': 2.4231512546539307, 'learning_rate': 1.8797092235827415e-05, 'optimizer_steps': 34}
{'avg_chunks': 3.2, 'loss': 2.3955068826675414, 'learning_rate': 1.8797092235827415e-05, 'optimizer_steps': 34}
{'avg_chunks': 3.4, 'loss': 2.446359872817993, 'learning_rate': 1.8761712595704692e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.6, 'loss': 2.468109130859375, 'learning_rate': 1.8761712595704692e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.4, 'loss': 2.5293641090393066, 'learning_rate': 1.8761712595704692e-05, 'optimizer_steps': 35}
{'avg_chunks': 3.8, 'loss': 2.3429189205169676, 'learning_rate': 1.872633295558197e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.2, 'loss': 2.7913702487945558, 'learning_rate': 1.872633295558197e-05, 'optimizer_steps': 36}
{'avg_chunks': 3.6, 'loss': 2.4405619621276857, 'learning_rate': 1.872633295558197e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.6, 'loss': 2.4566293716430665, 'learning_rate': 1.872633295558197e-05, 'optimizer_steps': 36}
{'avg_chunks': 3.0, 'loss': 2.9844231605529785, 'learning_rate': 1.8690953315459246e-05, 'optimizer_steps': 37}
{'avg_chunks': 4.0, 'loss': 2.364159345626831, 'learning_rate': 1.8690953315459246e-05, 'optimizer_steps': 37}
{'avg_chunks': 2.4, 'loss': 2.3593689441680907, 'learning_rate': 1.8690953315459246e-05, 'optimizer_steps': 37}
{'avg_chunks': 3.2, 'loss': 2.517112159729004, 'learning_rate': 1.8655573675336524e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.4, 'loss': 2.3857298851013184, 'learning_rate': 1.8655573675336524e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.6, 'loss': 2.2126018524169924, 'learning_rate': 1.8655573675336524e-05, 'optimizer_steps': 38}
{'avg_chunks': 3.6, 'loss': 2.7445041656494142, 'learning_rate': 1.8620194035213798e-05, 'optimizer_steps': 39}
{'avg_chunks': 2.2, 'loss': 2.3650617599487305, 'learning_rate': 1.8620194035213798e-05, 'optimizer_steps': 39}
{'avg_chunks': 3.4, 'loss': 2.4645127296447753, 'learning_rate': 1.8620194035213798e-05, 'optimizer_steps': 39}
{'avg_chunks': 2.8, 'loss': 2.3619370460510254, 'learning_rate': 1.8584814395091078e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.8, 'loss': 2.1242005825042725, 'learning_rate': 1.8584814395091078e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.8, 'loss': 2.467617130279541, 'learning_rate': 1.8584814395091078e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.2, 'loss': 2.425851917266846, 'learning_rate': 1.8549434754968355e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.0, 'loss': 2.5260664224624634, 'learning_rate': 1.8549434754968355e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.4, 'loss': 2.4514758586883545, 'learning_rate': 1.8549434754968355e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.0, 'loss': 2.774699831008911, 'learning_rate': 1.8549434754968355e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.4, 'loss': 2.522635650634766, 'learning_rate': 1.851405511484563e-05, 'optimizer_steps': 42}
{'avg_chunks': 2.4, 'loss': 2.6113000392913817, 'learning_rate': 1.851405511484563e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.6, 'loss': 2.641722249984741, 'learning_rate': 1.851405511484563e-05, 'optimizer_steps': 42}
{'avg_chunks': 2.4, 'loss': 2.7532135963439943, 'learning_rate': 1.8478675474722907e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.8, 'loss': 2.4057178497314453, 'learning_rate': 1.8478675474722907e-05, 'optimizer_steps': 43}
{'avg_chunks': 3.4, 'loss': 2.40846529006958, 'learning_rate': 1.8478675474722907e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.0, 'loss': 2.564193773269653, 'learning_rate': 1.8443295834600184e-05, 'optimizer_steps': 44}
{'avg_chunks': 2.8, 'loss': 2.4866100788116454, 'learning_rate': 1.8443295834600184e-05, 'optimizer_steps': 44}
{'avg_chunks': 3.4, 'loss': 2.4266417026519775, 'learning_rate': 1.8443295834600184e-05, 'optimizer_steps': 44}
{'avg_chunks': 3.0, 'loss': 2.5957226514816285, 'learning_rate': 1.840791619447746e-05, 'optimizer_steps': 45}
{'avg_chunks': 3.0, 'loss': 2.3745057582855225, 'learning_rate': 1.840791619447746e-05, 'optimizer_steps': 45}
{'avg_chunks': 3.6, 'loss': 2.17826566696167, 'learning_rate': 1.840791619447746e-05, 'optimizer_steps': 45}
{'avg_chunks': 3.8, 'loss': 2.523639941215515, 'learning_rate': 1.837253655435474e-05, 'optimizer_steps': 46}
{'avg_chunks': 2.4, 'loss': 2.3753583431243896, 'learning_rate': 1.837253655435474e-05, 'optimizer_steps': 46}
{'avg_chunks': 4.2, 'loss': 2.6576953411102293, 'learning_rate': 1.837253655435474e-05, 'optimizer_steps': 46}
{'avg_chunks': 3.2, 'loss': 2.7577141523361206, 'learning_rate': 1.837253655435474e-05, 'optimizer_steps': 46}
{'avg_chunks': 2.2, 'loss': 2.3167111396789553, 'learning_rate': 1.8337156914232016e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.6, 'loss': 2.551928973197937, 'learning_rate': 1.8337156914232016e-05, 'optimizer_steps': 47}
{'avg_chunks': 3.2, 'loss': 2.4429458141326905, 'learning_rate': 1.8337156914232016e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.2, 'loss': 2.7211581230163575, 'learning_rate': 1.8301777274109293e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.6, 'loss': 2.3975672245025637, 'learning_rate': 1.8301777274109293e-05, 'optimizer_steps': 48}
{'avg_chunks': 3.0, 'loss': 3.047055196762085, 'learning_rate': 1.8301777274109293e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.8, 'loss': 2.523470735549927, 'learning_rate': 1.8266397633986567e-05, 'optimizer_steps': 49}
{'avg_chunks': 2.0, 'loss': 2.4266647338867187, 'learning_rate': 1.8266397633986567e-05, 'optimizer_steps': 49}
{'avg_chunks': 3.4, 'loss': 2.585538387298584, 'learning_rate': 1.8266397633986567e-05, 'optimizer_steps': 49}
{'avg_chunks': 3.2, 'loss': 2.5849926471710205, 'learning_rate': 1.8231017993863844e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.8, 'loss': 2.5812263965606688, 'learning_rate': 1.8231017993863844e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.2, 'loss': 2.4347246646881104, 'learning_rate': 1.8231017993863844e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.8, 'loss': 2.759970188140869, 'learning_rate': 1.8195638353741125e-05, 'optimizer_steps': 51}
{'avg_chunks': 4.2, 'loss': 2.4707795858383177, 'learning_rate': 1.8195638353741125e-05, 'optimizer_steps': 51}
{'avg_chunks': 2.6, 'loss': 2.6141857624053957, 'learning_rate': 1.8195638353741125e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.6, 'loss': 2.8042334079742433, 'learning_rate': 1.8195638353741125e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.2, 'loss': 2.2933964252471926, 'learning_rate': 1.81602587136184e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.8, 'loss': 2.714899444580078, 'learning_rate': 1.81602587136184e-05, 'optimizer_steps': 52}
{'avg_chunks': 3.0, 'loss': 2.563780355453491, 'learning_rate': 1.81602587136184e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.2, 'loss': 2.3840437173843383, 'learning_rate': 1.8124879073495676e-05, 'optimizer_steps': 53}
{'avg_chunks': 3.0, 'loss': 2.7521689176559447, 'learning_rate': 1.8124879073495676e-05, 'optimizer_steps': 53}
{'avg_chunks': 3.4, 'loss': 2.527460241317749, 'learning_rate': 1.8124879073495676e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.8, 'loss': 2.399081063270569, 'learning_rate': 1.8089499433372953e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.4, 'loss': 2.596316957473755, 'learning_rate': 1.8089499433372953e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.6, 'loss': 2.6085752487182616, 'learning_rate': 1.8089499433372953e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.0, 'loss': 2.466349792480469, 'learning_rate': 1.805411979325023e-05, 'optimizer_steps': 55}
{'avg_chunks': 3.0, 'loss': 2.6965693473815917, 'learning_rate': 1.805411979325023e-05, 'optimizer_steps': 55}
{'avg_chunks': 2.0, 'loss': 2.2703468561172486, 'learning_rate': 1.805411979325023e-05, 'optimizer_steps': 55}
{'avg_chunks': 3.2, 'loss': 2.7734978199005127, 'learning_rate': 1.8018740153127507e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.4, 'loss': 2.440472459793091, 'learning_rate': 1.8018740153127507e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.0, 'loss': 2.2471595287322996, 'learning_rate': 1.8018740153127507e-05, 'optimizer_steps': 56}
{'avg_chunks': 2.4, 'loss': 2.539584255218506, 'learning_rate': 1.8018740153127507e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.4, 'loss': 2.5766817808151243, 'learning_rate': 1.7983360513004785e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.8, 'loss': 2.9065417766571047, 'learning_rate': 1.7983360513004785e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.8, 'loss': 2.545346570014954, 'learning_rate': 1.7983360513004785e-05, 'optimizer_steps': 57}
{'avg_chunks': 3.4, 'loss': 2.3329561710357667, 'learning_rate': 1.7947980872882062e-05, 'optimizer_steps': 58}
{'avg_chunks': 3.0, 'loss': 2.5571960687637327, 'learning_rate': 1.7947980872882062e-05, 'optimizer_steps': 58}
{'avg_chunks': 2.8, 'loss': 2.381809186935425, 'learning_rate': 1.7947980872882062e-05, 'optimizer_steps': 58}
{'avg_chunks': 2.6, 'loss': 2.4020816564559935, 'learning_rate': 1.7912601232759336e-05, 'optimizer_steps': 59}
{'avg_chunks': 2.6, 'loss': 2.256878685951233, 'learning_rate': 1.7912601232759336e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.0, 'loss': 2.182281184196472, 'learning_rate': 1.7912601232759336e-05, 'optimizer_steps': 59}
{'avg_chunks': 2.2, 'loss': 2.292944240570068, 'learning_rate': 1.7877221592636613e-05, 'optimizer_steps': 60}
{'avg_chunks': 2.6, 'loss': 2.721652030944824, 'learning_rate': 1.7877221592636613e-05, 'optimizer_steps': 60}
{'avg_chunks': 4.0, 'loss': 2.751989984512329, 'learning_rate': 1.7877221592636613e-05, 'optimizer_steps': 60}
{'avg_chunks': 2.6, 'loss': 2.325925087928772, 'learning_rate': 1.784184195251389e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.4, 'loss': 2.30879967212677, 'learning_rate': 1.784184195251389e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.8, 'loss': 2.597925090789795, 'learning_rate': 1.784184195251389e-05, 'optimizer_steps': 61}
{'avg_chunks': 3.0, 'loss': 2.2455598592758177, 'learning_rate': 1.784184195251389e-05, 'optimizer_steps': 61}
{'avg_chunks': 3.2, 'loss': 2.481014537811279, 'learning_rate': 1.7806462312391168e-05, 'optimizer_steps': 62}
{'avg_chunks': 3.6, 'loss': 2.268036460876465, 'learning_rate': 1.7629564111777554e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.8, 'loss': 2.5313894033432005, 'learning_rate': 1.7629564111777554e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.6, 'loss': 2.2957417964935303, 'learning_rate': 1.7629564111777554e-05, 'optimizer_steps': 67}
{'avg_chunks': 3.2, 'loss': 2.4659647941589355, 'learning_rate': 1.7594184471654828e-05, 'optimizer_steps': 68}
{'avg_chunks': 2.8, 'loss': 2.5968831062316893, 'learning_rate': 1.7594184471654828e-05, 'optimizer_steps': 68}
{'avg_chunks': 3.6, 'loss': 2.459842586517334, 'learning_rate': 1.7594184471654828e-05, 'optimizer_steps': 68}
{'avg_chunks': 2.6, 'loss': 2.35536904335022, 'learning_rate': 1.7558804831532105e-05, 'optimizer_steps': 69}
{'avg_chunks': 3.0, 'loss': 2.531911277770996, 'learning_rate': 1.7558804831532105e-05, 'optimizer_steps': 69}
{'avg_chunks': 3.0, 'loss': 2.3424357891082765, 'learning_rate': 1.7558804831532105e-05, 'optimizer_steps': 69}
{'avg_chunks': 2.2, 'loss': 2.6666643142700197, 'learning_rate': 1.7523425191409382e-05, 'optimizer_steps': 70}
{'avg_chunks': 2.8, 'loss': 2.5862937211990356, 'learning_rate': 1.7523425191409382e-05, 'optimizer_steps': 70}
{'avg_chunks': 2.4, 'loss': 2.3813814163208007, 'learning_rate': 1.7523425191409382e-05, 'optimizer_steps': 70}
{'avg_chunks': 3.4, 'loss': 2.728242778778076, 'learning_rate': 1.748804555128666e-05, 'optimizer_steps': 71}
{'avg_chunks': 2.4, 'loss': 2.3001654624938963, 'learning_rate': 1.748804555128666e-05, 'optimizer_steps': 71}
{'avg_chunks': 4.0, 'loss': 2.6516918659210207, 'learning_rate': 1.748804555128666e-05, 'optimizer_steps': 71}
{'avg_chunks': 2.6, 'loss': 2.20633864402771, 'learning_rate': 1.748804555128666e-05, 'optimizer_steps': 71}
{'avg_chunks': 3.0, 'loss': 2.421797037124634, 'learning_rate': 1.7452665911163937e-05, 'optimizer_steps': 72}
{'avg_chunks': 3.8, 'loss': 2.4079747676849363, 'learning_rate': 1.7452665911163937e-05, 'optimizer_steps': 72}
{'avg_chunks': 3.8, 'loss': 2.7048123836517335, 'learning_rate': 1.7452665911163937e-05, 'optimizer_steps': 72}
{'avg_chunks': 3.2, 'loss': 2.2707392454147337, 'learning_rate': 1.7417286271041214e-05, 'optimizer_steps': 73}
