Train Iteration: 100%
9019/9019 [3:51:53<00:00, 1.54s/it]
{'avg_chunks': 3.2, 'loss': 2.419786238670349, 'learning_rate': 1.9254968264087143e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.8, 'loss': 2.244327211380005, 'learning_rate': 1.9254968264087143e-05, 'optimizer_steps': 21}
{'avg_chunks': 2.6, 'loss': 2.156321477890015, 'learning_rate': 1.9254968264087143e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.4, 'loss': 2.6190600872039793, 'learning_rate': 1.921949056237701e-05, 'optimizer_steps': 22}
{'avg_chunks': 3.0, 'loss': 2.010921049118042, 'learning_rate': 1.921949056237701e-05, 'optimizer_steps': 22}
{'avg_chunks': 3.0, 'loss': 2.2790504693984985, 'learning_rate': 1.921949056237701e-05, 'optimizer_steps': 22}
{'avg_chunks': 3.0, 'loss': 2.36742479801178, 'learning_rate': 1.918401286066687e-05, 'optimizer_steps': 23}
{'avg_chunks': 2.8, 'loss': 2.189458703994751, 'learning_rate': 1.918401286066687e-05, 'optimizer_steps': 23}
{'avg_chunks': 2.4, 'loss': 2.2181325435638426, 'learning_rate': 1.918401286066687e-05, 'optimizer_steps': 23}
{'avg_chunks': 2.6, 'loss': 2.6680634737014772, 'learning_rate': 1.9148535158956734e-05, 'optimizer_steps': 24}
{'avg_chunks': 3.0, 'loss': 2.473916029930115, 'learning_rate': 1.9148535158956734e-05, 'optimizer_steps': 24}
{'avg_chunks': 4.2, 'loss': 2.669653367996216, 'learning_rate': 1.9148535158956734e-05, 'optimizer_steps': 24}
{'avg_chunks': 2.8, 'loss': 2.6450414180755617, 'learning_rate': 1.91130574572466e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.4, 'loss': 2.397136688232422, 'learning_rate': 1.91130574572466e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.8, 'loss': 2.700939178466797, 'learning_rate': 1.91130574572466e-05, 'optimizer_steps': 25}
{'avg_chunks': 3.2, 'loss': 2.4029711484909058, 'learning_rate': 1.9077579755536463e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.2, 'loss': 1.812994647026062, 'learning_rate': 1.9077579755536463e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.8, 'loss': 2.508457374572754, 'learning_rate': 1.9077579755536463e-05, 'optimizer_steps': 26}
{'avg_chunks': 3.6, 'loss': 2.5536442041397094, 'learning_rate': 1.9077579755536463e-05, 'optimizer_steps': 26}
{'avg_chunks': 3.0, 'loss': 2.396524119377136, 'learning_rate': 1.904210205382633e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.6, 'loss': 2.2770299196243284, 'learning_rate': 1.904210205382633e-05, 'optimizer_steps': 27}
{'avg_chunks': 3.2, 'loss': 2.6856868743896483, 'learning_rate': 1.904210205382633e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.8, 'loss': 2.7455162048339843, 'learning_rate': 1.900662435211619e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.0, 'loss': 2.6360075950622557, 'learning_rate': 1.900662435211619e-05, 'optimizer_steps': 28}
{'avg_chunks': 3.6, 'loss': 2.5783517837524412, 'learning_rate': 1.900662435211619e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.6, 'loss': 2.6906721115112306, 'learning_rate': 1.8971146650406057e-05, 'optimizer_steps': 29}
{'avg_chunks': 2.8, 'loss': 2.5694987297058107, 'learning_rate': 1.8971146650406057e-05, 'optimizer_steps': 29}
{'avg_chunks': 2.6, 'loss': 2.343885970115662, 'learning_rate': 1.8971146650406057e-05, 'optimizer_steps': 29}
{'avg_chunks': 4.0, 'loss': 2.242409014701843, 'learning_rate': 1.8935668948695917e-05, 'optimizer_steps': 30}
{'avg_chunks': 2.0, 'loss': 2.2942394733428957, 'learning_rate': 1.8935668948695917e-05, 'optimizer_steps': 30}
{'avg_chunks': 2.2, 'loss': 2.520307445526123, 'learning_rate': 1.8935668948695917e-05, 'optimizer_steps': 30}
{'avg_chunks': 4.0, 'loss': 2.2454316139221193, 'learning_rate': 1.8900191246985783e-05, 'optimizer_steps': 31}
{'avg_chunks': 3.0, 'loss': 2.176447534561157, 'learning_rate': 1.8900191246985783e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.6, 'loss': 2.3658579111099245, 'learning_rate': 1.8900191246985783e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.4, 'loss': 2.419394016265869, 'learning_rate': 1.8900191246985783e-05, 'optimizer_steps': 31}
{'avg_chunks': 3.8, 'loss': 2.4095027446746826, 'learning_rate': 1.8864713545275645e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.2, 'loss': 2.255040431022644, 'learning_rate': 1.8864713545275645e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.6, 'loss': 2.290670108795166, 'learning_rate': 1.8864713545275645e-05, 'optimizer_steps': 32}
{'avg_chunks': 3.0, 'loss': 2.211890530586243, 'learning_rate': 1.882923584356551e-05, 'optimizer_steps': 33}
{'avg_chunks': 2.8, 'loss': 2.354596662521362, 'learning_rate': 1.882923584356551e-05, 'optimizer_steps': 33}
{'avg_chunks': 3.4, 'loss': 2.476009750366211, 'learning_rate': 1.882923584356551e-05, 'optimizer_steps': 33}
{'avg_chunks': 3.2, 'loss': 2.7731149673461912, 'learning_rate': 1.8793758141855374e-05, 'optimizer_steps': 34}
{'avg_chunks': 2.6, 'loss': 2.2132700204849245, 'learning_rate': 1.8793758141855374e-05, 'optimizer_steps': 34}
{'avg_chunks': 2.6, 'loss': 2.4406449794769287, 'learning_rate': 1.8793758141855374e-05, 'optimizer_steps': 34}
{'avg_chunks': 2.8, 'loss': 2.2745100259780884, 'learning_rate': 1.8758280440145236e-05, 'optimizer_steps': 35}
{'avg_chunks': 4.0, 'loss': 2.2191540241241454, 'learning_rate': 1.8758280440145236e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.6, 'loss': 2.222134566307068, 'learning_rate': 1.8758280440145236e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.6, 'loss': 2.191349959373474, 'learning_rate': 1.8722802738435102e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.2, 'loss': 2.4351975679397584, 'learning_rate': 1.8722802738435102e-05, 'optimizer_steps': 36}
{'avg_chunks': 3.8, 'loss': 2.728188633918762, 'learning_rate': 1.8722802738435102e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.4, 'loss': 2.3414753913879394, 'learning_rate': 1.8722802738435102e-05, 'optimizer_steps': 36}
{'avg_chunks': 3.0, 'loss': 2.176145839691162, 'learning_rate': 1.8687325036724965e-05, 'optimizer_steps': 37}
{'avg_chunks': 2.8, 'loss': 2.3042073965072634, 'learning_rate': 1.8687325036724965e-05, 'optimizer_steps': 37}
{'avg_chunks': 2.6, 'loss': 2.3502316236495973, 'learning_rate': 1.8687325036724965e-05, 'optimizer_steps': 37}
{'avg_chunks': 4.2, 'loss': 2.735691785812378, 'learning_rate': 1.865184733501483e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.4, 'loss': 2.3668772697448732, 'learning_rate': 1.865184733501483e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.2, 'loss': 2.5084452390670777, 'learning_rate': 1.865184733501483e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.6, 'loss': 2.546331691741943, 'learning_rate': 1.8616369633304693e-05, 'optimizer_steps': 39}
{'avg_chunks': 3.0, 'loss': 2.7190055370330812, 'learning_rate': 1.8616369633304693e-05, 'optimizer_steps': 39}
{'avg_chunks': 2.6, 'loss': 2.3174182176589966, 'learning_rate': 1.8616369633304693e-05, 'optimizer_steps': 39}
{'avg_chunks': 3.2, 'loss': 2.4173698902130125, 'learning_rate': 1.858089193159456e-05, 'optimizer_steps': 40}
{'avg_chunks': 3.2, 'loss': 2.2328319549560547, 'learning_rate': 1.858089193159456e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.6, 'loss': 2.597660207748413, 'learning_rate': 1.858089193159456e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.4, 'loss': 2.6255544662475585, 'learning_rate': 1.8545414229884422e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.8, 'loss': 2.560073184967041, 'learning_rate': 1.8545414229884422e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.4, 'loss': 2.6067827701568604, 'learning_rate': 1.8545414229884422e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.6, 'loss': 2.6143014907836912, 'learning_rate': 1.8545414229884422e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.2, 'loss': 2.262879228591919, 'learning_rate': 1.8509936528174285e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.0, 'loss': 3.0050695896148683, 'learning_rate': 1.8509936528174285e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.0, 'loss': 2.5380703926086428, 'learning_rate': 1.8509936528174285e-05, 'optimizer_steps': 42}
{'avg_chunks': 2.6, 'loss': 2.3020229816436766, 'learning_rate': 1.847445882646415e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.0, 'loss': 2.359803056716919, 'learning_rate': 1.847445882646415e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.8, 'loss': 2.3481550216674805, 'learning_rate': 1.847445882646415e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.8, 'loss': 2.5364044189453123, 'learning_rate': 1.8438981124754013e-05, 'optimizer_steps': 44}
{'avg_chunks': 3.0, 'loss': 2.4778924942016602, 'learning_rate': 1.8438981124754013e-05, 'optimizer_steps': 44}
{'avg_chunks': 2.6, 'loss': 2.343499183654785, 'learning_rate': 1.8438981124754013e-05, 'optimizer_steps': 44}
{'avg_chunks': 3.4, 'loss': 2.7672138690948485, 'learning_rate': 1.840350342304388e-05, 'optimizer_steps': 45}
{'avg_chunks': 2.6, 'loss': 2.576123857498169, 'learning_rate': 1.840350342304388e-05, 'optimizer_steps': 45}
{'avg_chunks': 3.2, 'loss': 2.3753302574157713, 'learning_rate': 1.840350342304388e-05, 'optimizer_steps': 45}
{'avg_chunks': 3.2, 'loss': 2.3372841835021974, 'learning_rate': 1.8368025721333742e-05, 'optimizer_steps': 46}
{'avg_chunks': 3.2, 'loss': 2.208132839202881, 'learning_rate': 1.8368025721333742e-05, 'optimizer_steps': 46}
{'avg_chunks': 2.8, 'loss': 2.3208118438720704, 'learning_rate': 1.8368025721333742e-05, 'optimizer_steps': 46}
{'avg_chunks': 2.0, 'loss': 2.475020432472229, 'learning_rate': 1.8368025721333742e-05, 'optimizer_steps': 46}
{'avg_chunks': 2.8, 'loss': 2.49232439994812, 'learning_rate': 1.8332548019623608e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.6, 'loss': 2.399033784866333, 'learning_rate': 1.8332548019623608e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.6, 'loss': 2.1943726778030395, 'learning_rate': 1.8332548019623608e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.8, 'loss': 2.387019681930542, 'learning_rate': 1.829707031791347e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.4, 'loss': 2.450661134719849, 'learning_rate': 1.829707031791347e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.8, 'loss': 2.3913509607315064, 'learning_rate': 1.829707031791347e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.0, 'loss': 2.5091985702514648, 'learning_rate': 1.8261592616203333e-05, 'optimizer_steps': 49}
{'avg_chunks': 2.6, 'loss': 2.2583888292312624, 'learning_rate': 1.8261592616203333e-05, 'optimizer_steps': 49}
{'avg_chunks': 3.4, 'loss': 2.189754772186279, 'learning_rate': 1.8261592616203333e-05, 'optimizer_steps': 49}
{'avg_chunks': 3.0, 'loss': 2.2357965230941774, 'learning_rate': 1.8226114914493195e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.4, 'loss': 2.3707510948181154, 'learning_rate': 1.8226114914493195e-05, 'optimizer_steps': 50}
{'avg_chunks': 3.2, 'loss': 2.674312877655029, 'learning_rate': 1.8226114914493195e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.8, 'loss': 2.272157001495361, 'learning_rate': 1.819063721278306e-05, 'optimizer_steps': 51}
{'avg_chunks': 2.6, 'loss': 2.393826484680176, 'learning_rate': 1.819063721278306e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.8, 'loss': 2.6123393535614015, 'learning_rate': 1.819063721278306e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.8, 'loss': 2.4707619190216064, 'learning_rate': 1.819063721278306e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.2, 'loss': 2.0474358797073364, 'learning_rate': 1.8155159511072924e-05, 'optimizer_steps': 52}
{'avg_chunks': 3.6, 'loss': 2.457976508140564, 'learning_rate': 1.8155159511072924e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.8, 'loss': 2.1790658235549927, 'learning_rate': 1.8155159511072924e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.6, 'loss': 2.5910571098327635, 'learning_rate': 1.8119681809362787e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.2, 'loss': 2.35829553604126, 'learning_rate': 1.8119681809362787e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.6, 'loss': 2.4035060882568358, 'learning_rate': 1.8119681809362787e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.8, 'loss': 2.324806547164917, 'learning_rate': 1.8084204107652653e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.0, 'loss': 2.292146158218384, 'learning_rate': 1.8084204107652653e-05, 'optimizer_steps': 54}
{'avg_chunks': 2.2, 'loss': 1.9710930347442628, 'learning_rate': 1.8084204107652653e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.4, 'loss': 2.7546948432922362, 'learning_rate': 1.8048726405942515e-05, 'optimizer_steps': 55}
{'avg_chunks': 3.4, 'loss': 2.688136100769043, 'learning_rate': 1.8048726405942515e-05, 'optimizer_steps': 55}
{'avg_chunks': 2.6, 'loss': 2.3757416725158693, 'learning_rate': 1.8048726405942515e-05, 'optimizer_steps': 55}
{'avg_chunks': 2.0, 'loss': 2.3119008779525756, 'learning_rate': 1.801324870423238e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.0, 'loss': 2.337805986404419, 'learning_rate': 1.801324870423238e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.4, 'loss': 2.4932448387146, 'learning_rate': 1.801324870423238e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.0, 'loss': 2.4514511585235597, 'learning_rate': 1.801324870423238e-05, 'optimizer_steps': 56}
{'avg_chunks': 2.0, 'loss': 2.06017529964447, 'learning_rate': 1.7977771002522244e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.8, 'loss': 2.3184883117675783, 'learning_rate': 1.7977771002522244e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.6, 'loss': 2.2208045721054077, 'learning_rate': 1.7977771002522244e-05, 'optimizer_steps': 57}
{'avg_chunks': 3.4, 'loss': 2.4159149408340452, 'learning_rate': 1.794229330081211e-05, 'optimizer_steps': 58}
{'avg_chunks': 3.6, 'loss': 2.2261420011520388, 'learning_rate': 1.794229330081211e-05, 'optimizer_steps': 58}
{'avg_chunks': 2.4, 'loss': 2.2449089765548704, 'learning_rate': 1.794229330081211e-05, 'optimizer_steps': 58}
{'avg_chunks': 3.4, 'loss': 2.750003528594971, 'learning_rate': 1.7906815599101972e-05, 'optimizer_steps': 59}
{'avg_chunks': 4.2, 'loss': 2.432302474975586, 'learning_rate': 1.7906815599101972e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.6, 'loss': 2.750493812561035, 'learning_rate': 1.7906815599101972e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.0, 'loss': 2.5346485376358032, 'learning_rate': 1.7871337897391835e-05, 'optimizer_steps': 60}
{'avg_chunks': 3.2, 'loss': 2.375390958786011, 'learning_rate': 1.7871337897391835e-05, 'optimizer_steps': 60}
{'avg_chunks': 2.8, 'loss': 2.2980153560638428, 'learning_rate': 1.7871337897391835e-05, 'optimizer_steps': 60}
{'avg_chunks': 3.0, 'loss': 2.594927763938904, 'learning_rate': 1.78358601956817e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.0, 'loss': 2.109383726119995, 'learning_rate': 1.78358601956817e-05, 'optimizer_steps': 61}
{'avg_chunks': 4.0, 'loss': 2.7925827503204346, 'learning_rate': 1.78358601956817e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.8, 'loss': 2.2460177898406983, 'learning_rate': 1.78358601956817e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.8, 'loss': 2.2231067419052124, 'learning_rate': 1.7800382493971564e-05, 'optimizer_steps': 62}
{'avg_chunks': 2.8, 'loss': 2.07201886177063, 'learning_rate': 1.7800382493971564e-05, 'optimizer_steps': 62}
{'avg_chunks': 2.6, 'loss': 2.1842408895492555, 'learning_rate': 1.7800382493971564e-05, 'optimizer_steps': 62}
{'avg_chunks': 3.0, 'loss': 2.356879639625549, 'learning_rate': 1.776490479226143e-05, 'optimizer_steps': 63}
{'avg_chunks': 3.6, 'loss': 2.822612690925598, 'learning_rate': 1.776490479226143e-05, 'optimizer_steps': 63}
{'avg_chunks': 2.8, 'loss': 2.3914955615997315, 'learning_rate': 1.776490479226143e-05, 'optimizer_steps': 63}
{'avg_chunks': 3.2, 'loss': 2.264469289779663, 'learning_rate': 1.7729427090551292e-05, 'optimizer_steps': 64}
{'avg_chunks': 3.8, 'loss': 2.7562196254730225, 'learning_rate': 1.7729427090551292e-05, 'optimizer_steps': 64}
{'avg_chunks': 3.8, 'loss': 2.718571901321411, 'learning_rate': 1.7729427090551292e-05, 'optimizer_steps': 64}
{'avg_chunks': 2.2, 'loss': 2.0278586864471437, 'learning_rate': 1.7693949388841155e-05, 'optimizer_steps': 65}
{'avg_chunks': 3.8, 'loss': 2.655166435241699, 'learning_rate': 1.7693949388841155e-05, 'optimizer_steps': 65}
{'avg_chunks': 3.0, 'loss': 2.512288045883179, 'learning_rate': 1.7693949388841155e-05, 'optimizer_steps': 65}
{'avg_chunks': 2.6, 'loss': 2.66632342338562, 'learning_rate': 1.765847168713102e-05, 'optimizer_steps': 66}
{'avg_chunks': 2.4, 'loss': 2.6454570293426514, 'learning_rate': 1.765847168713102e-05, 'optimizer_steps': 66}
{'avg_chunks': 2.0, 'loss': 2.736721563339233, 'learning_rate': 1.765847168713102e-05, 'optimizer_steps': 66}
{'avg_chunks': 3.4, 'loss': 2.7161731719970703, 'learning_rate': 1.765847168713102e-05, 'optimizer_steps': 66}
{'avg_chunks': 2.6, 'loss': 2.59405722618103, 'learning_rate': 1.7622993985420883e-05, 'optimizer_steps': 67}
{'avg_chunks': 3.6, 'loss': 2.390875792503357, 'learning_rate': 1.7622993985420883e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.4, 'loss': 2.526292610168457, 'learning_rate': 1.7622993985420883e-05, 'optimizer_steps': 67}
{'avg_chunks': 3.2, 'loss': 2.465791702270508, 'learning_rate': 1.758751628371075e-05, 'optimizer_steps': 68}
{'avg_chunks': 3.2, 'loss': 2.6158116817474366, 'learning_rate': 1.758751628371075e-05, 'optimizer_steps': 68}
