Train Iteration: 100%
9046/9046 [3:55:39<00:00, 1.56s/it]
{'avg_chunks': 3.6, 'loss': 3.8458078384399412, 'learning_rate': 1.925713022330312e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.0, 'loss': 3.603429174423218, 'learning_rate': 1.925713022330312e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.6, 'loss': 3.721876525878906, 'learning_rate': 1.925713022330312e-05, 'optimizer_steps': 21}
{'avg_chunks': 3.8, 'loss': 3.9548200130462647, 'learning_rate': 1.9221755472031837e-05, 'optimizer_steps': 22}
{'avg_chunks': 4.8, 'loss': 3.775152587890625, 'learning_rate': 1.9221755472031837e-05, 'optimizer_steps': 22}
{'avg_chunks': 2.6, 'loss': 3.5520538330078124, 'learning_rate': 1.9221755472031837e-05, 'optimizer_steps': 22}
{'avg_chunks': 2.4, 'loss': 3.56410493850708, 'learning_rate': 1.9186380720760557e-05, 'optimizer_steps': 23}
{'avg_chunks': 3.4, 'loss': 3.685931158065796, 'learning_rate': 1.9186380720760557e-05, 'optimizer_steps': 23}
{'avg_chunks': 3.2, 'loss': 3.876983308792114, 'learning_rate': 1.9186380720760557e-05, 'optimizer_steps': 23}
{'avg_chunks': 2.6, 'loss': 3.5103402137756348, 'learning_rate': 1.9151005969489277e-05, 'optimizer_steps': 24}
{'avg_chunks': 4.0, 'loss': 3.592643451690674, 'learning_rate': 1.9151005969489277e-05, 'optimizer_steps': 24}
{'avg_chunks': 3.6, 'loss': 3.5452804565429688, 'learning_rate': 1.9151005969489277e-05, 'optimizer_steps': 24}
{'avg_chunks': 2.4, 'loss': 3.300254964828491, 'learning_rate': 1.9115631218217997e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.4, 'loss': 3.4679444313049315, 'learning_rate': 1.9115631218217997e-05, 'optimizer_steps': 25}
{'avg_chunks': 2.2, 'loss': 3.755862522125244, 'learning_rate': 1.9115631218217997e-05, 'optimizer_steps': 25}
{'avg_chunks': 3.2, 'loss': 3.317689323425293, 'learning_rate': 1.908025646694672e-05, 'optimizer_steps': 26}
{'avg_chunks': 3.8, 'loss': 3.5709298133850096, 'learning_rate': 1.908025646694672e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.2, 'loss': 3.432769203186035, 'learning_rate': 1.908025646694672e-05, 'optimizer_steps': 26}
{'avg_chunks': 3.6, 'loss': 3.4802363395690916, 'learning_rate': 1.908025646694672e-05, 'optimizer_steps': 26}
{'avg_chunks': 2.8, 'loss': 3.29781174659729, 'learning_rate': 1.904488171567544e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.8, 'loss': 3.413794994354248, 'learning_rate': 1.904488171567544e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.4, 'loss': 3.3338321685791015, 'learning_rate': 1.904488171567544e-05, 'optimizer_steps': 27}
{'avg_chunks': 2.6, 'loss': 3.309620904922485, 'learning_rate': 1.900950696440416e-05, 'optimizer_steps': 28}
{'avg_chunks': 3.2, 'loss': 3.692505359649658, 'learning_rate': 1.900950696440416e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.4, 'loss': 3.326971912384033, 'learning_rate': 1.900950696440416e-05, 'optimizer_steps': 28}
{'avg_chunks': 2.8, 'loss': 3.287659692764282, 'learning_rate': 1.897413221313288e-05, 'optimizer_steps': 29}
{'avg_chunks': 3.0, 'loss': 3.15871901512146, 'learning_rate': 1.897413221313288e-05, 'optimizer_steps': 29}
{'avg_chunks': 3.0, 'loss': 3.2052573204040526, 'learning_rate': 1.897413221313288e-05, 'optimizer_steps': 29}
{'avg_chunks': 2.0, 'loss': 3.162770938873291, 'learning_rate': 1.89387574618616e-05, 'optimizer_steps': 30}
{'avg_chunks': 2.8, 'loss': 3.1363986015319822, 'learning_rate': 1.89387574618616e-05, 'optimizer_steps': 30}
{'avg_chunks': 3.2, 'loss': 3.326154851913452, 'learning_rate': 1.89387574618616e-05, 'optimizer_steps': 30}
{'avg_chunks': 3.0, 'loss': 3.307071304321289, 'learning_rate': 1.8903382710590315e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.6, 'loss': 3.574176073074341, 'learning_rate': 1.8903382710590315e-05, 'optimizer_steps': 31}
{'avg_chunks': 3.0, 'loss': 3.282791090011597, 'learning_rate': 1.8903382710590315e-05, 'optimizer_steps': 31}
{'avg_chunks': 2.6, 'loss': 2.904364728927612, 'learning_rate': 1.8903382710590315e-05, 'optimizer_steps': 31}
{'avg_chunks': 3.0, 'loss': 3.2265267848968504, 'learning_rate': 1.8868007959319035e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.2, 'loss': 3.2706257820129396, 'learning_rate': 1.8868007959319035e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.2, 'loss': 3.0699379444122314, 'learning_rate': 1.8868007959319035e-05, 'optimizer_steps': 32}
{'avg_chunks': 2.4, 'loss': 3.147446393966675, 'learning_rate': 1.883263320804776e-05, 'optimizer_steps': 33}
{'avg_chunks': 2.6, 'loss': 2.9197524547576905, 'learning_rate': 1.883263320804776e-05, 'optimizer_steps': 33}
{'avg_chunks': 3.0, 'loss': 3.3922553062438965, 'learning_rate': 1.883263320804776e-05, 'optimizer_steps': 33}
{'avg_chunks': 3.2, 'loss': 3.154987335205078, 'learning_rate': 1.8797258456776478e-05, 'optimizer_steps': 34}
{'avg_chunks': 3.8, 'loss': 3.308610677719116, 'learning_rate': 1.8797258456776478e-05, 'optimizer_steps': 34}
{'avg_chunks': 3.0, 'loss': 3.397661828994751, 'learning_rate': 1.8797258456776478e-05, 'optimizer_steps': 34}
{'avg_chunks': 3.6, 'loss': 3.5450201988220216, 'learning_rate': 1.8761883705505198e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.8, 'loss': 3.1030435085296633, 'learning_rate': 1.8761883705505198e-05, 'optimizer_steps': 35}
{'avg_chunks': 2.4, 'loss': 3.003776788711548, 'learning_rate': 1.8761883705505198e-05, 'optimizer_steps': 35}
{'avg_chunks': 3.2, 'loss': 2.7898253440856933, 'learning_rate': 1.8726508954233918e-05, 'optimizer_steps': 36}
{'avg_chunks': 3.2, 'loss': 3.1668607234954833, 'learning_rate': 1.8726508954233918e-05, 'optimizer_steps': 36}
{'avg_chunks': 4.8, 'loss': 3.263055372238159, 'learning_rate': 1.8726508954233918e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.8, 'loss': 3.2669307708740236, 'learning_rate': 1.8726508954233918e-05, 'optimizer_steps': 36}
{'avg_chunks': 2.4, 'loss': 3.076180362701416, 'learning_rate': 1.8691134202962638e-05, 'optimizer_steps': 37}
{'avg_chunks': 2.8, 'loss': 3.066506576538086, 'learning_rate': 1.8691134202962638e-05, 'optimizer_steps': 37}
{'avg_chunks': 2.8, 'loss': 3.1343352794647217, 'learning_rate': 1.8691134202962638e-05, 'optimizer_steps': 37}
{'avg_chunks': 3.2, 'loss': 3.361467170715332, 'learning_rate': 1.8655759451691357e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.2, 'loss': 3.125515508651733, 'learning_rate': 1.8655759451691357e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.4, 'loss': 3.0181907653808593, 'learning_rate': 1.8655759451691357e-05, 'optimizer_steps': 38}
{'avg_chunks': 2.8, 'loss': 3.242357873916626, 'learning_rate': 1.8620384700420077e-05, 'optimizer_steps': 39}
{'avg_chunks': 2.6, 'loss': 3.1285584926605225, 'learning_rate': 1.8620384700420077e-05, 'optimizer_steps': 39}
{'avg_chunks': 2.4, 'loss': 2.8526795387268065, 'learning_rate': 1.8620384700420077e-05, 'optimizer_steps': 39}
{'avg_chunks': 3.4, 'loss': 3.105942392349243, 'learning_rate': 1.8585009949148797e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.6, 'loss': 3.1940009117126467, 'learning_rate': 1.8585009949148797e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.8, 'loss': 2.9572051048278807, 'learning_rate': 1.8585009949148797e-05, 'optimizer_steps': 40}
{'avg_chunks': 2.8, 'loss': 2.599129247665405, 'learning_rate': 1.8549635197877517e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.2, 'loss': 2.988688850402832, 'learning_rate': 1.8549635197877517e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.4, 'loss': 3.1235968112945556, 'learning_rate': 1.8549635197877517e-05, 'optimizer_steps': 41}
{'avg_chunks': 3.2, 'loss': 3.1886736392974853, 'learning_rate': 1.8549635197877517e-05, 'optimizer_steps': 41}
{'avg_chunks': 2.4, 'loss': 2.560539484024048, 'learning_rate': 1.8514260446606237e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.4, 'loss': 3.1406998157501222, 'learning_rate': 1.8514260446606237e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.6, 'loss': 3.3384252071380613, 'learning_rate': 1.8514260446606237e-05, 'optimizer_steps': 42}
{'avg_chunks': 3.8, 'loss': 3.048514556884766, 'learning_rate': 1.8478885695334956e-05, 'optimizer_steps': 43}
{'avg_chunks': 3.0, 'loss': 3.2863263130187987, 'learning_rate': 1.8478885695334956e-05, 'optimizer_steps': 43}
{'avg_chunks': 3.4, 'loss': 3.231727933883667, 'learning_rate': 1.8478885695334956e-05, 'optimizer_steps': 43}
{'avg_chunks': 2.0, 'loss': 2.588306188583374, 'learning_rate': 1.8443510944063676e-05, 'optimizer_steps': 44}
{'avg_chunks': 2.8, 'loss': 3.220344638824463, 'learning_rate': 1.8443510944063676e-05, 'optimizer_steps': 44}
{'avg_chunks': 2.8, 'loss': 3.063215732574463, 'learning_rate': 1.8443510944063676e-05, 'optimizer_steps': 44}
{'avg_chunks': 2.2, 'loss': 2.9978598594665526, 'learning_rate': 1.8408136192792396e-05, 'optimizer_steps': 45}
{'avg_chunks': 2.4, 'loss': 3.010618257522583, 'learning_rate': 1.8408136192792396e-05, 'optimizer_steps': 45}
{'avg_chunks': 2.0, 'loss': 3.285590982437134, 'learning_rate': 1.8408136192792396e-05, 'optimizer_steps': 45}
{'avg_chunks': 2.4, 'loss': 2.5954573154449463, 'learning_rate': 1.8372761441521116e-05, 'optimizer_steps': 46}
{'avg_chunks': 4.0, 'loss': 3.605234909057617, 'learning_rate': 1.8372761441521116e-05, 'optimizer_steps': 46}
{'avg_chunks': 3.0, 'loss': 3.0228702068328857, 'learning_rate': 1.8372761441521116e-05, 'optimizer_steps': 46}
{'avg_chunks': 3.6, 'loss': 3.1159894943237303, 'learning_rate': 1.8372761441521116e-05, 'optimizer_steps': 46}
{'avg_chunks': 4.2, 'loss': 3.1115347862243654, 'learning_rate': 1.8337386690249836e-05, 'optimizer_steps': 47}
{'avg_chunks': 2.4, 'loss': 2.858283281326294, 'learning_rate': 1.8337386690249836e-05, 'optimizer_steps': 47}
{'avg_chunks': 3.6, 'loss': 2.894571876525879, 'learning_rate': 1.8337386690249836e-05, 'optimizer_steps': 47}
{'avg_chunks': 3.2, 'loss': 2.680197525024414, 'learning_rate': 1.8302011938978555e-05, 'optimizer_steps': 48}
{'avg_chunks': 4.0, 'loss': 3.0426788330078125, 'learning_rate': 1.8302011938978555e-05, 'optimizer_steps': 48}
{'avg_chunks': 3.0, 'loss': 2.934927797317505, 'learning_rate': 1.8302011938978555e-05, 'optimizer_steps': 48}
{'avg_chunks': 2.4, 'loss': 2.8662155628204347, 'learning_rate': 1.8266637187707275e-05, 'optimizer_steps': 49}
{'avg_chunks': 2.8, 'loss': 3.2766597747802733, 'learning_rate': 1.8266637187707275e-05, 'optimizer_steps': 49}
{'avg_chunks': 2.2, 'loss': 2.7746615409851074, 'learning_rate': 1.8266637187707275e-05, 'optimizer_steps': 49}
{'avg_chunks': 2.2, 'loss': 2.7667030811309816, 'learning_rate': 1.8231262436435995e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.6, 'loss': 2.9076030969619753, 'learning_rate': 1.8231262436435995e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.4, 'loss': 3.119357538223267, 'learning_rate': 1.8231262436435995e-05, 'optimizer_steps': 50}
{'avg_chunks': 2.8, 'loss': 3.0549878597259523, 'learning_rate': 1.8195887685164715e-05, 'optimizer_steps': 51}
{'avg_chunks': 2.6, 'loss': 2.896880102157593, 'learning_rate': 1.8195887685164715e-05, 'optimizer_steps': 51}
{'avg_chunks': 3.2, 'loss': 2.644609546661377, 'learning_rate': 1.8195887685164715e-05, 'optimizer_steps': 51}
{'avg_chunks': 2.4, 'loss': 2.971668243408203, 'learning_rate': 1.8195887685164715e-05, 'optimizer_steps': 51}
{'avg_chunks': 2.6, 'loss': 2.740220785140991, 'learning_rate': 1.8160512933893435e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.6, 'loss': 2.611890411376953, 'learning_rate': 1.8160512933893435e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.8, 'loss': 2.4440253257751463, 'learning_rate': 1.8160512933893435e-05, 'optimizer_steps': 52}
{'avg_chunks': 2.4, 'loss': 2.8460827350616453, 'learning_rate': 1.8125138182622154e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.8, 'loss': 2.9403908491134643, 'learning_rate': 1.8125138182622154e-05, 'optimizer_steps': 53}
{'avg_chunks': 2.6, 'loss': 2.7571531772613525, 'learning_rate': 1.8125138182622154e-05, 'optimizer_steps': 53}
{'avg_chunks': 3.0, 'loss': 3.0690850257873534, 'learning_rate': 1.8089763431350874e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.4, 'loss': 3.4335633277893067, 'learning_rate': 1.8089763431350874e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.0, 'loss': 2.865812587738037, 'learning_rate': 1.8089763431350874e-05, 'optimizer_steps': 54}
{'avg_chunks': 3.2, 'loss': 3.045568418502808, 'learning_rate': 1.8054388680079594e-05, 'optimizer_steps': 55}
{'avg_chunks': 1.8, 'loss': 2.6749486446380617, 'learning_rate': 1.8054388680079594e-05, 'optimizer_steps': 55}
{'avg_chunks': 3.8, 'loss': 2.8129611015319824, 'learning_rate': 1.8054388680079594e-05, 'optimizer_steps': 55}
{'avg_chunks': 2.2, 'loss': 2.8973856925964356, 'learning_rate': 1.8019013928808317e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.0, 'loss': 3.0304251670837403, 'learning_rate': 1.8019013928808317e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.6, 'loss': 3.1247509956359862, 'learning_rate': 1.8019013928808317e-05, 'optimizer_steps': 56}
{'avg_chunks': 3.6, 'loss': 2.911759614944458, 'learning_rate': 1.8019013928808317e-05, 'optimizer_steps': 56}
{'avg_chunks': 2.6, 'loss': 2.855756664276123, 'learning_rate': 1.7983639177537033e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.4, 'loss': 3.001558542251587, 'learning_rate': 1.7983639177537033e-05, 'optimizer_steps': 57}
{'avg_chunks': 2.8, 'loss': 2.9601102828979493, 'learning_rate': 1.7983639177537033e-05, 'optimizer_steps': 57}
{'avg_chunks': 3.6, 'loss': 3.1977462768554688, 'learning_rate': 1.7948264426265753e-05, 'optimizer_steps': 58}
{'avg_chunks': 3.2, 'loss': 2.8916248798370363, 'learning_rate': 1.7948264426265753e-05, 'optimizer_steps': 58}
{'avg_chunks': 2.8, 'loss': 2.787344217300415, 'learning_rate': 1.7948264426265753e-05, 'optimizer_steps': 58}
{'avg_chunks': 2.2, 'loss': 3.0693717002868652, 'learning_rate': 1.7912889674994473e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.0, 'loss': 3.192680311203003, 'learning_rate': 1.7912889674994473e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.8, 'loss': 2.8097496747970583, 'learning_rate': 1.7912889674994473e-05, 'optimizer_steps': 59}
{'avg_chunks': 3.4, 'loss': 2.7464553356170653, 'learning_rate': 1.7877514923723193e-05, 'optimizer_steps': 60}
{'avg_chunks': 3.0, 'loss': 2.9192949295043946, 'learning_rate': 1.7877514923723193e-05, 'optimizer_steps': 60}
{'avg_chunks': 3.0, 'loss': 2.6874459266662596, 'learning_rate': 1.7877514923723193e-05, 'optimizer_steps': 60}
{'avg_chunks': 3.6, 'loss': 2.7897525787353517, 'learning_rate': 1.7842140172451913e-05, 'optimizer_steps': 61}
{'avg_chunks': 4.2, 'loss': 2.9433550357818605, 'learning_rate': 1.7842140172451913e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.0, 'loss': 2.844816970825195, 'learning_rate': 1.7842140172451913e-05, 'optimizer_steps': 61}
{'avg_chunks': 2.8, 'loss': 2.665591335296631, 'learning_rate': 1.7842140172451913e-05, 'optimizer_steps': 61}
{'avg_chunks': 3.6, 'loss': 2.922585964202881, 'learning_rate': 1.7806765421180632e-05, 'optimizer_steps': 62}
{'avg_chunks': 2.6, 'loss': 3.3236005306243896, 'learning_rate': 1.7806765421180632e-05, 'optimizer_steps': 62}
{'avg_chunks': 3.6, 'loss': 3.1488585472106934, 'learning_rate': 1.7806765421180632e-05, 'optimizer_steps': 62}
{'avg_chunks': 3.6, 'loss': 2.7148789405822753, 'learning_rate': 1.7771390669909356e-05, 'optimizer_steps': 63}
{'avg_chunks': 2.4, 'loss': 2.63906307220459, 'learning_rate': 1.7771390669909356e-05, 'optimizer_steps': 63}
{'avg_chunks': 2.4, 'loss': 2.9629554748535156, 'learning_rate': 1.7771390669909356e-05, 'optimizer_steps': 63}
{'avg_chunks': 3.4, 'loss': 3.1550450801849363, 'learning_rate': 1.7736015918638075e-05, 'optimizer_steps': 64}
{'avg_chunks': 2.0, 'loss': 3.08785662651062, 'learning_rate': 1.7736015918638075e-05, 'optimizer_steps': 64}
{'avg_chunks': 3.2, 'loss': 2.757152223587036, 'learning_rate': 1.7736015918638075e-05, 'optimizer_steps': 64}
{'avg_chunks': 4.0, 'loss': 2.536833667755127, 'learning_rate': 1.7700641167366795e-05, 'optimizer_steps': 65}
{'avg_chunks': 2.8, 'loss': 2.6722885608673095, 'learning_rate': 1.7700641167366795e-05, 'optimizer_steps': 65}
{'avg_chunks': 3.4, 'loss': 2.3783573627471926, 'learning_rate': 1.7700641167366795e-05, 'optimizer_steps': 65}
{'avg_chunks': 2.8, 'loss': 2.7260397911071776, 'learning_rate': 1.766526641609551e-05, 'optimizer_steps': 66}
{'avg_chunks': 2.2, 'loss': 2.8908462047576906, 'learning_rate': 1.766526641609551e-05, 'optimizer_steps': 66}
{'avg_chunks': 3.0, 'loss': 2.748307466506958, 'learning_rate': 1.766526641609551e-05, 'optimizer_steps': 66}
{'avg_chunks': 4.2, 'loss': 3.3996575355529783, 'learning_rate': 1.766526641609551e-05, 'optimizer_steps': 66}
{'avg_chunks': 3.4, 'loss': 2.814424014091492, 'learning_rate': 1.762989166482423e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.8, 'loss': 2.824427032470703, 'learning_rate': 1.762989166482423e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.6, 'loss': 2.8629905700683596, 'learning_rate': 1.762989166482423e-05, 'optimizer_steps': 67}
{'avg_chunks': 2.0, 'loss': 2.7544150352478027, 'learning_rate': 1.759451691355295e-05, 'optimizer_steps': 68}
{'avg_chunks': 3.2, 'loss': 2.778092098236084, 'learning_rate': 1.759451691355295e-05, 'optimizer_steps': 68}
